need help chrome gets stuck and does not open amy web page.	__FROM__ 	Chrome	problem discovery
unable to delete bookmarked content.	__FROM__ 	Chrome	problem discovery
I tried to apply the recommend settings to turn off Adchoice but it didnt work.	__FROM__ 	Chrome	problem discovery
this web browser REFUSES to open wifi login pages on older devices no matter what settings or options you select.	__FROM__ 	Chrome	problem discovery
just can't update the app so that I can start my beta testing.	__FROM__ 	Chrome	problem discovery
after unbookmark bookmarked content it automatically retrieved again and again...	__FROM__ 	Chrome	problem discovery
i need to upgrade chorme for allow all connections with apps pay accounts drive open pay accounts apps from this phone allow with to veiw account with out passwords to access them google read drive if im checking from this device or use face	__FROM__ 	Chrome	problem discovery
in given box and also not able to enter given captcha so pls!	__FROM__ 	Chrome	problem discovery
Really nice app but how can I turn off notifications/vibration?	__FROM__ 	Chrome	problem discovery
Please fix your algorithms so denialists can't game it.	__FROM__ 	Chrome	problem discovery
i can't download images from Chromebook	__FROM__ 	Chrome	problem discovery
Can't even rearrange tabs!	__FROM__ 	Chrome	problem discovery
Not good at all always has a spam real problem with this app I hope you will repair it developer	__FROM__ 	Chrome	problem discovery
i refuse to change my review until you guys fix your stuff.	__FROM__ 	Chrome	problem discovery
But it doesnt work now....	__FROM__ 	Chrome	problem discovery
over loads and slow running!	__FROM__ 	Chrome	problem discovery
Todays update messed up online streaming in chrome and other apps.	__FROM__ 	Chrome	problem discovery
i am facing unexpected opening of new tab from nowhere even after restarting device.	__FROM__ 	Chrome	problem discovery
Tried updating app, uninstall re install but no luck.	__FROM__ 	Chrome	problem discovery
In this newer version there is no way to delete or remove the video file or any other file which is not downloaded completely.	__FROM__ 	Chrome	problem discovery
i keep trying to sign into my personal accounts and they wont let me sign in even though I entered the right passwords	__FROM__ 	Chrome	problem discovery
never works half the time and I go to do paperwork stops in the middle of it	__FROM__ 	Chrome	problem discovery
it is good but when i download song at first is starts then i have to download pls fix it.	__FROM__ 	Chrome	problem discovery
Why are full page websites opening over the page I'm viewing and I can't even close them or get to another tab?	__FROM__ 	Chrome	problem discovery
I can no longer bookmark webpages since this last update.	__FROM__ 	Chrome	problem discovery
I like the app, but some sites won't work correctly.	__FROM__ 	Chrome	problem discovery
unable to use gmail as it keep crashing, recently updated to android p	__FROM__ 	Gmail	problem discovery
But after latest update you can see in the notification area that gmail is constantly syncing.	__FROM__ 	Gmail	problem discovery
Forwarding emails with attachments does not include the attachment.	__FROM__ 	Gmail	problem discovery
If the attachment is a file like a pdf for example it does not get forwarded.	__FROM__ 	Gmail	problem discovery
hello sir plzzz one option put in the gmail all mail select for delete	__FROM__ 	Gmail	problem discovery
Extremely useful when it actually works, but unfortunately it's incredibly unstable.	__FROM__ 	Gmail	problem discovery
This is on a Moto E5 Plus, so it could be more of a device issue.	__FROM__ 	Gmail	problem discovery
Issue with File Uploads | I have had to uninstall and reinstall this app twice due to file uploads sitting in the outbox forever.	__FROM__ 	Gmail	problem discovery
Doesn't sync with Yahoo Mail.	__FROM__ 	Gmail	problem discovery
It's great for friends or business but not notifications	__FROM__ 	Gmail	problem discovery
............ emails are not pushed on time	__FROM__ 	Gmail	problem discovery
Have tried all recommended forces and still have huge problems.	__FROM__ 	Gmail	problem discovery
Can't open files .	__FROM__ 	Gmail	problem discovery
It crashes upon opening, writing a reply, sending a reply, saving a draft, you name it.	__FROM__ 	Gmail	problem discovery
crashes more than ever, effectively unusable.	__FROM__ 	Gmail	problem discovery
My Gmail application is not working....It is not syncing with my google account	__FROM__ 	Gmail	problem discovery
im not able to see my messages that are on Gmail.	__FROM__ 	Gmail	problem discovery
please fix this.	__FROM__ 	Gmail	problem discovery
i couldnt find my mailbox in mobile	__FROM__ 	Gmail	problem discovery
wrong number of unread email!	__FROM__ 	Gmail	problem discovery
Just changed to new phone Samsung s9 now no notification.	__FROM__ 	Gmail	problem discovery
i cant get emails to sync.	__FROM__ 	Gmail	problem discovery
I'm unable to send emails with attachments since few days, sent a feedback (there is 'complaint' option!!)	__FROM__ 	Gmail	problem discovery
It gets stuck in the outbox often for as long as 24 hours for no apparent reason, burning through my data leaving me frustrated, angry.	__FROM__ 	Gmail	problem discovery
Gmail crashes suddenly when I open it and it has not sent me the reason for the crash	__FROM__ 	Gmail	problem discovery
So fed up with gmail not sending.	__FROM__ 	Gmail	problem discovery
i never had this problem with this app on the iPhone 6.	__FROM__ 	Gmail	problem discovery
There is always something wrong every time i use gmail I'm receiving replies saying email incorrect	__FROM__ 	Gmail	problem discovery
Mireover, when im using this e-mail on several sites for example for recovering pass etc, i dont receive the message.	__FROM__ 	Gmail	problem discovery
NOT able to download files after update	__FROM__ 	Gmail	problem discovery
attached picture not show when in Internet mobile mode.	__FROM__ 	Gmail	problem discovery
i cant open some data	__FROM__ 	Gmail	problem discovery
Get 'Correct credentials needed' error, but 'Sign in' doesn't work.	__FROM__ 	Gmail	problem discovery
Despite changing to non conversation mode in general settings the account keeps going back to conversation mode.	__FROM__ 	Gmail	problem discovery
This is for the recent bug which keeps the videos on Instagram playing even after we swipe up or down from it and later numerous videos when viewed keep on playing all at a time creating a chaos .	__FROM__ 	Instagram	problem discovery
second, only one of my accounts can send voice messages in DM's.	__FROM__ 	Instagram	problem discovery
My instagram was working absoltuley fine but from this morning it is not logging in my account	__FROM__ 	Instagram	problem discovery
first being, I can not unfollow certain tags, or accounts.	__FROM__ 	Instagram	problem discovery
After the new update the app is often close by it self	__FROM__ 	Instagram	problem discovery
Unable to Hear Notificatiin Sound after Update on my Xiaomi Device	__FROM__ 	Instagram	problem discovery
Sometimes not responding but still Fav.	__FROM__ 	Instagram	problem discovery
Cant post anything on my account.	__FROM__ 	Instagram	problem discovery
in this new update no video in the app will play	__FROM__ 	Instagram	problem discovery
when you try to download your adhar card using chrome..then it fail because you can't enter your adhar no.	__FROM__ 	Instagram	problem discovery
"For now there's a bug I see which is the black bar at the bottom that says ""switched account to ____"" it doesnt disappear.."	__FROM__ 	Instagram	problem discovery
"i like instagram alot, till now its been best but..... today as i opend my instagram it showed a msg ""oops, error occured"" as soon as i logged in and im unable to use so i tried uninstalling and then installing again and then i was on my 2G connection my instagram downloaded within 3 sec and its same issue and i asked my friends its same with them too, i hope it is safe and our accs are safe, also please fix it as soon as possible."	__FROM__ 	Instagram	problem discovery
Broken, keeps playing a video on repeat even after I scroll past it.	__FROM__ 	Instagram	problem discovery
"Nothing is shown no picture no video all I see is a blank screen that says ""tap to load"" I tap it it doesn't load..."	__FROM__ 	Instagram	problem discovery
there is a problem with story's	__FROM__ 	Instagram	problem discovery
recently, my phone keeps glitching while texting friends.	__FROM__ 	Instagram	problem discovery
also, when i store on sd card to free space on my phone; uninstalls after a few weeks and/or fries the whole card.	__FROM__ 	Instagram	problem discovery
I also cant change group names properly, can only view half of my gallery, pictures send as black and white and so much more.	__FROM__ 	Instagram	problem discovery
When I want to upload a photo it doesn't show anything it just shows blank photos like the wifi isn't working but everything else is fine.	__FROM__ 	Instagram	problem discovery
Instagram keeps freezing at start up.	__FROM__ 	Instagram	problem discovery
love the app and idea of it, but it crashes a lot!	__FROM__ 	Instagram	problem discovery
Day to day update not available	__FROM__ 	Instagram	problem discovery
I don't have 'send to story' button.	__FROM__ 	Instagram	problem discovery
bad experience ever updated.......Sometimes did not showing active status and not showing displaypicture and servers were too down......plz fix it	__FROM__ 	Instagram	problem discovery
It doesn't show me the music button when I add a question sticker	__FROM__ 	Instagram	problem discovery
always freezing and crashing and taking too long to send messages	__FROM__ 	Instagram	problem discovery
not working, coundn't open the apps	__FROM__ 	Instagram	problem discovery
